Nom De L'application,Prix,Catégorie,Developpeur,Date De Sortie,Description
Radar météo vivant - Prévision,0.99,Loisirs,Abigail,8/30/2023 6:42:07 AM,"Radar météorologique en direct - Prévoir une application météorologique d'arrêt. Obtenez des données météorologiques locales et mondiales fiables, des cartes précises de précipitations et de prévisions de température, etc., pour obtenir des changements météorologiques importants dans le temps, afin que vous puissiez rapidement comprendre la météo à venir.

Cette application a des services radar multiples intégrés:Windy, World Weather, Zoom Earth, Weather Bug, Weather.com, MeteoBlue, Rainviewer, Satellite, Hurricanes, QWeather, Ventusky."
Scrivano for Handwritten Notes,4.99,Productivité,Scrivano Labs,2/15/2022 9:54:03 PM,"Scrivano is a note-taking application aimed at those who prefer handwriting over typing. It offers a simple and easy to use interface to write down your thoughts and ideas. The app gives you an infinite vertical canvas (but limited horizontal space) without sacrificing the ability to easily export your notes in traditional printing formats (e.g. A2, A3, A4, etc...). 

Here is a summary of the most important features:
- 4 different paper backgrounds to choose from: Plain, Lined, Grid or Dotted with customisable spacing and backgrounds.
- Grid Snapping: in Scrivano you can toggle the grid snapping feature so that your drawings will automatically snap to grid lines in the background. This is very useful to easily draw tables, diagrams and lines.
- Automatic filling of strokes: toggle the paint bucket in the toolbar to fill your drawing shapes and strokes.
- Import PDF files: perfect for annotating articles, lecture slides and books.
- Stickers: save your frequently used symbols and diagrams, so you can easily drag and drop whenever you need them.
- Insert images: paste or drag and drop any image on the canvas to unleash your creativity!
- Offline saving: save your notes anywhere on your main drive, so you can manage them however you please.
- Laser: Scrivano offers a special laser tool to quickly draw over your notes. Incredibly useful when sharing your screen or presenting something!

If you have any question about the application or you'd like to suggest a new feature, please send an email to scrivanolabs@gmail.com."
Classic Taskbar,0.99,Personnalisation,Chan Software Solutions,3/24/2023 11:13:46 PM,"Bring back the classic Windows 10 taskbar and start menu to Windows 11. 

Powerusers who are looking for the feature-rich tools in Windows 10 do not have to look any further! Download this app to change your taskbar, start menu, and many more settings from Windows 11 back to Windows 10. 

You can toggle the settings on and off in the settings launcher by right clicking the taskbar and clicking ""Properties"" to open a modern settings app. Some settings may require restarting Windows Explorer to take effect."
aPods Pro,1.69,Utilitaires et outils,Long Studio,10/18/2022 8:17:22 AM,"You must install iTunes first.

You can use AirPods in Windows.

Able to automatically detect human ear; display battery information;

You can see the beautiful animation when you open the AirPods outside.

Note: Computers require Blueprint 4.0 or higher version.

This software is a third-party client and has nothing to do with Apple."
Remote for Denon Marantz HEOS,4.99,Loisirs,John Li,6/3/2019 2:41:47 AM,"Remote controller for HEOS wireless speaker system, control all your HEOS enabled speaker or AV receivers on your PC or XBox ONE with this App.

You can use this App to play/pause/mute audio, control volume, change audio input source, choose USB music files if your speak support USB drive. On some speaker model, the App support open music file from PC or XBox directly to play on your speaker.

* You need network connected HEOS enabled speaker or AV Receiver (Wi-Fi or Wired) to work with this App."
Driver Update - Driver Updates Organizer,4.99,Utilitaires et outils,MegaAppsLabs,3/7/2023 5:42:34 PM,"Driver Update - Log and Organize Drivers is an easy-to-use software that helps you keep track of driver updates for different devices. With our software, you can easily monitor the status of your drivers and ensure that your devices are running smoothly and efficiently.

Our software allows you to track Name, Type, Manufacturer, model, serial number, department, room, contact person, purchase date, warranty end date, and accumulative Maintenance Cost for each device. This information can be easily updated and modified as needed, allowing you to keep a comprehensive record of your devices and their maintenance history.

Whether you're an IT professional or a home user, Driver Update - Log and Organize Drivers is the perfect solution for keeping your devices up-to-date and maintaining their performance. Try it today and experience the benefits of hassle-free device maintenance!

You can keep track of all the following information about your drivers and devices:

Name: Keep track of the name of each device to easily identify it.
Type: Categorize each device by its type, such as computer, printer, scanner, or monitor.
Manufacturer: Store the name of the manufacturer of each device.
Model: Keep track of the model number of each device for easy reference.
Serial Number: Track the unique serial number of each device for warranty and repair purposes.
Department: Assign each device to a department for better organization and management.
Room: Record the room number or location of each device for easy tracking.
Contact Person: Keep track of the person responsible for each device, including their contact information.
Purchase Date: Record the date each device was purchased for warranty and budget tracking purposes.
Warranty End Date: Track the end date of each device's warranty for timely repairs and replacements.
Accumulative Maintenance Cost: Keep track of the total cost of maintenance for each device to help with budget planning and decision-making.

With these features, the software will help businesses and individuals easily keep track of their devices, ensure they are up-to-date with the latest drivers, and help prevent costly repairs and replacements."
Tous les convertisseurs multimédias.,1.99,Utilitaires et outils,Better Me Studio,2/14/2023 2:11:53 PM,"Il s'agit d'un convertisseur audio et vidéo complet.

Il peut convertir divers formats multimédias en formats multimédias populaires et peut rapidement effectuer un transcodage audio et un transcodage vidéo.

Peut fournir un transcodage vidéo rapide, un transcodage audio et une conversion de format de fichier.
  
Il peut extraire l'audio, la conversion de format vidéo, la compression vidéo, la conversion au format audio, etc.
 
 · Extraction audio: Extraire audio de la vidéo, formats de sortie de support MP3, M4A, OGG, WAV, FLAC, WMA, AIFF, CAF, ADX, AC3, AAC, M4R
 
 · Conversion du format vidéo: formats de sortie de support MP4, MOV, 3GP, 3G2, ASF, MKV, VOB, MPEG, WMV, FLV, AVI
 
 · Compression vidéo: compression de taille vidéo
 
 · Conversion au format audio, format de sortie de support MP3, M4A, OGG, WAV, FLAC, WMA, AIFF, CAF, ADX, AC3, AAC, M4R"
Christmas HD Live Wallpaper,1.99,Personnalisation,rolling coders,12/6/2020 6:25:51 PM,"With Christmas HD Live Wallpaper you will see the awesomeness of a wonderfoul Christmas tree, with full details, you will be able to relax while enjoying the view of this splendid Christmas Tree with snowflakes!

The application will start in full screen mode, so you can se it as screensaver, just leave it open, you can also use it in window mode."
VR Desktop,4.99,Affaires,Integrated Web Solutions,8/26/2022 12:38:03 AM,"Virtual Desktop for Windows PC.

Displays your computer monitor in a three-dimension virtual space, for use with a virtual reality headsets.

* Supports wired and wireless connection. We recommend a wired connection for gaming."
VisorApp,1.09,Utilitaires et outils,App Software Inc.,4/19/2021 11:39:57 AM,"Monitor temperature, speed and load of your desktop computer.
 
This way you keep track of your component performance like CPU,
GPU, RAM and Network."
Boîtier d'outils photo - Modification d'image,2.89,Utilitaires et outils,Lambert Studio,10/7/2022 5:54:28 PM,"L'éditeur de photos est un programme multifonctionnel utile, vous offrant une large gamme d'outils d'édition d'image. Ce téléchargement d'éditeur de photos est livré avec un large éventail de fonctionnalités, ce qui peut compléter les compétences et les intérêts du propriétaire de l'appareil photo numérique. Chaque outil offre une approche professionnelle combinée avec une commodité ultime pour afficher, modifier et optimiser les photos. Lors de l'utilisation de cet outil d'édition d'image, vous pouvez améliorer la couleur, éliminer les yeux rouges, ajouter des effets d'éclairage, recadrer et créer des caricatures drôles. Il y a même un outil de maquillage, vous permettant d'améliorer et de retoucher des photos de portraits."
TorrentTéléchargeur+,5.49,Utilitaires et outils,Novelty Studio,8/2/2022 9:25:40 AM,"Un logiciel de téléchargement Torrent est un gestionnaire de téléchargement complet et puissant qui prend en charge le téléchargement BitTorrent, Magnet, HTTP, HTTPS, FTP, etc."
MKV Video Codec Pack,0.99,Divertissement,Virtual Pulse,11/30/2021 11:13:12 AM,"MKV Video Codec Pack est une interface multimédia légère et puissante qui vous permet d'accéder aux fichiers MKV et de les lire.

MKV Video Codec Pack est presque tout ce dont vous avez besoin pour lire les fichiers .mkv (matroska vidéo) et .mka (matroska audio).
Ces fichiers sont similaires à d'autres codecs tels que AVI et MP4. Cependant, d'autres lecteurs multimédias peuvent ne pas les prendre en charge.

Remarque : vous devez avoir installé Player For Media pour lire les fichiers MKV sur votre appareil Windows 10.
Si vous n'avez pas cette application, installez-la gratuitement maintenant.


Le processus d'installation est très simple, il suffit de cliquer sur le bouton """" Obtenir """" et l'extension sera automatiquement installée directement dans l'application Player For Media."
WiFi Sync for connected Cameras,4.99,Photo et vidéo,John Li,5/7/2019 9:06:04 AM,"If your Canon camera is equipped with WIFI, you can use this App to view photos on your camera, wirelessly download selected photos to your PC or Xbox One without remove the SD Card from camera.

Support Devices:
Please check your camera menu have 'Wi-Fi function' -> 'View images on DLNA devices', then your camera can be used with this App.

How to connect?
On your camera, you can find 'Wi-Fi function' in menu, select 'View images on DLNA devices', choose the wireless network which you want to connect. Some camera allow you operate camera (shoot photo) while the WiFi is on, you can view photo which you just shoot on camera in the App.

After your camera and PC/Xbox  in the same network, the App will find your cameras, and load all photo thumbnails, you can view photo or download photo.
* The camera WIFI is not that powerful so you may need to put camera near network router to get better WIFI signal.
* Raw and Video files are not supported right now.

This App was designed by John Li, this is not an official application by Canon."
Open Shot Video Editor Pro,4.99,Utilitaires et outils,Wondeful Office,5/31/2022 10:32:25 AM,"OpenShot Video Editor is an open-source video editor for Windows, macOS, Linux, and Chrome OS. 

This is a very powerful video editing tool software. The operation interface of this video editing software is very simple, and users can easily perform video editing and other operations.

Users can cut videos in a variety of simple ways, as well as get a variety of watermark styles and the ability to set various video effects. Users can modify the background color, adjust the brightness, and easily perform video editing, cropping, adding special effects, adding text, and merging videos. There are various types of video templates in it, and users can easily get started."
Extract Pro - Rar Zip 7z+,5.19,Productivité,KyrosDev,4/19/2021 1:33:39 PM,"Extract Pro is an archiver utility, based on SharpCompress. It can extract most common file types including, but not limited to, rar, zip & 7z. It has a sleek user interface, with touch support, focusing on usability and performance. 
You can also compress files with 5 different compression options for extra disk space savings.
Extract Pro is the only application that can run on ARM architecture natively and with the best performance.
(Split archives are not supported as are encrypted rar5 archives.)"
VNC Server,0.99,Productivité,CoderLearn,10/8/2022 1:48:49 AM,"VNC Server is fast remote desktop server for Windows based on TightVNC. After starting VNC Server, you can access and control your Windows from any devices that installed a VNC Viewer (from iOS, Android, Mac, Linux or other Windows).

Feature list:
- Share full Windows access
- Share view-only mode (Blocks remote input events)
- Set password for securely access
- Share a selected app window only
- Share a selected area of screen only
- Set custom port
- Allow file transferring
- And more.

Note: This app does not support Windows 10S"
RVT Viewer,4.99,Affaires,Vision Software.,6/17/2021 4:30:48 AM,"RVT Viewer is a viewer for 2D and 3D designs including AutoCAD DWG, DXF, Revit RVT and Inventor IPT, as well as STEP, SolidWorks, CATIA and others."
MP3 Downloader - MP3 Tube Owner,5.49,Musique,IO Stream,10/24/2022 6:33:20 AM,"Save the audio (MP3) you like from Youtube.
Support download Playlist and your custom List.
📖 Download multiple audio at once, there's no limit to how many files.
🔒 All processing is performed locally on your computer where your files remain safe and private.

⭐️ FEATURES ⭐️

### DOWNLOAD AUDIO (MP3) FROM YOUTUBE
• Download PLAYLIST.
• Download custom LIST.
• Download multiple audio files at once, there's no limit to how many files.
• Quality options: bitrate, audio codec.
• Record download history.

## OPTIMIZE FEATURES
• Format: MP3, MP4.
• Option to convert downloaded audio files to MP3.
• There is an option to turn off the computer when all files are downloaded.
• Adjust download speed and compression level to optimize download file size."
APK Editor Pro,1.99,Utilitaires et outils,App_Shop,3/14/2023 4:53:46 AM,"Build and decompile, modify, and manage your APK files while you work on them using APK Editor Tool Pro. Since most people now do almost everything on their smartphones, attention is focused on developing suitable applications that will make our daily activities more convenient and convenient."
Back to the Drawing Board - 2D CAD,18.99,Productivité,High Camp Software,12/28/2012 12:22:49 PM,"Back to the Drawing Board is a powerful 2D CAD and technical drawing app.  It is the perfect tool for creating 2D plans, elevations, details, schematics, diagrams, and charts on your Windows device.  Back to the Drawing Board takes full advantage of the unique features of Windows to provide a great drawing experience on desktops, laptops and tablets.  It is an affordable CAD solution for businesses, consumers, students or anyone who needs to produce quick, accurate technical drawings.

Take advantage of our free 7-day trial and see what you can create with Back to the Drawing Board."
T-Drive,9.99,Productivité,mnml,12/20/2021 12:06:39 PM,"T-Drive is a virtually unlimited cloud storage based on the Telegram API.

Simply log in with your Telegram account and start uploading files.

It's secure. All your files are protected and stored in saved messages.

It's convenient. You can create folders, move, copy, and rename files just like you're used to. Detailed view or grid, small or large icons, folder customization - it's all up to you. Plus, our handy sorting and quick search features will save you a lot of time.

It's fast. There are no limits on upload and download speeds. Upload entire directories with preserved file structure.

It's beautiful. The app's design is crafted for both desktop and mobile use."
Bingo Caller Machine 2,9.59,Divertissement,App Developers Ltd,12/21/2018 9:44:46 AM,"Run your own bingo night with our bingo calling Software.  Play bingo from your device or connect to a TV for big screen bingo.

Perfect for bingo parties, bingo fundraising events, quiet nights in or family fun.

Select from a selection of colourful themes to customise your bingo night.  The themes can be customised further by adding your own party name to the screen.

Bingo Caller Machine has 60, 75 and 90 ball game modes for all types of bingo fan.

Professionally recorded voiceover artists speak out the balls as they are drawn.  You can choose from either traditional UK bingo calls (two little ducks, 22), US bingo calls (B-12, I-24, G-57) or just the numbers (two and three, twenty-three).

There are also 5 call speed settings, so you can enjoy fast or slow games as well as a manual call option where you press a button to draw a ball.

Bingo Caller Machine works with any bingo cards, you can purchase them or even print out your own bingo cards at home for a quick and easy party bingo night."
Resume AI Writer,4.99,Affaires,Artificial Intelligence Software,5/15/2023 9:17:13 PM,"Create a professional resume in minutes with the power of AI

Resume Maker AI is the easy-to-use app that helps you create a professional resume in minutes with the power of AI. With Resume Maker AI, you can easily customize your resume to match your skills and experience, and then download it in a variety of formats, including PDF and Word.

Resume Maker AI is the perfect tool for anyone who wants to create a professional resume quickly and easily. With Resume Maker AI, you can easily create a resume that will help you stand out from the competition and land the job you want.

Download Resume Maker AI today and start creating your professional resume!"
K53 South Africa Pro Tablet,3.39,Éducation,K53 South Africa,3/21/2016 8:34:45 PM,"K53 South Africa will help you prepare for your learner's and driver's license test. Thousand plus people have tried the app and got good results on their learner's and driver's license test.
 
It has a full learning section that will help you learn and understand rules of the road for each vehicle type (motorcycle, car and truck). Get excess to over 700 plus road signs, learn their names, purpose and where to find them. Learn controls for each vehicle type (motorcycle, car and truck) at a touch of a button.

With K53 South Africa you also get driving/riding modules that will help you to accurately execute actions like pre-trip inspection, parallel parking, speed management , allay docking, left turn and etc. 

Keep record of your progress; see which sections need improvement with your last test results.

The new and improved K53 South Africa app has the following:

Learners License Section
1.	Test Section:
               •	K53 Test
               •	Book Test
               •	Road Sign Test
               •	Rules of the road Test
               •	Control Test

2.	Learning section: 
               •	Road signs.
               •	Rules of the road.
               •	Vehicle/Bike Controls.

3.	Progress Section
               •	Keep track of your progress.
               •	Keep track of your test rank and much more.

Driver’s License Section
1.	Driver’s license modules for
               •	Motorcycle
               •	Light motor vehicle
               •	Heavy motor vehicle"
H.264 Player,4.99,Affaires,Media Apps Group,7/15/2021 4:37:47 AM,Play H.264 Videos on your Windows PC.
AudiobookSuite,4.99,Divertissement,Shrimperator,11/1/2023 11:52:18 AM,"AudiobookSuite is an easy-to-use solution for your local audiobook playback and organization. Whereas traditional media players treat audiobooks as an afterthought at best, AudiobookSuite was built for audiobooks from the start.


AudiobookSuite imports your library from disk without any additional work. Put in the paths you want to be scanned for files, then watch the program do the rest. Multiple related audio files should automatically be sorted into the same audiobook that can then be played back in full, even if it consists of hundreds of files. The goal is a plug-and-play interface for your local audiobook library.

Positions in all audiobooks are saved individually, allowing you to switch between them whenever you want. When you've finished an audiobook, it'll be marked as 'read' for you, to avoid cluttering up your library.

You can also assign groups to your audiobooks, allowing you to find exactly what you want to listen to, when you want to listen to it. If you want, you can even let AudiobookSuite create those groups for you automatically, from the genre metadata specified in your audiofiles. You can even hide individual audiobooks in case you don't want them to be visible at all.

Not only does AudiobookSuite support chapters (either through individual files, or through metadata), you can also add your own bookmarks. This way, you can jump back to your favorite parts whenever you want, without having to search for them. Both chapter markers and bookmarks are displayed on the player's timeline for added convenience.

Want to fall asleep while listening to an audiobook? Give the sleep timer a try!

## Supported file formats
AudiobookSuite was built with compatibility in mind and supports all common file formats you could think of. If you're still unsure, here's a list of all the supported formats:

 .m4a, .m4b, .mp2, .mp3, .flv, .flac, .mkv, .ogm, .mov, .ogg, .es, .ps, .ts, .pva, .asf, .aif, .aifc, .aiff, .ai, .avi, .mid, .mpe, .mpeg, .mpg, .mpv2, .m1v, .snd, .wav, .wm, .wma, .wmv, .opus

## Getting Started
- go into the settings and click the big ""Change Paths"" button.
- in the newly opened dialog, click on the green plus and select where your files are.
	- you may repeat this step to add more directories if you desire.
- press ""confirm""
- go to the library and hit the refresh button on the top right to scan for new files and create Audiobooks automatically for you. You can also manually create audiobooks and add files to them, or drag/drop files and folders into the library to add them and create audiobooks from them.
- whenever you add a new library path or add new files, hit the refresh button in the library again to look for new files.
- if you want to take a closer look at one of the imported audiobooks, right click it in the library and select ""details"". There, you can also reorganize the individual files or add/remove them.

## Additional Instructions
Should the scanner ever fail to sort files into an audiobook correctly, there are two approaches you can take:

# 1.
put all the files into one sub folder, and rename the files to something similar, like ""audiobook name - <number>"". If this still doesn't work, the relevant metadata of the individual files might be different. You can either find a way to change the metadata, or go with approach 2.
# 2.
- in the library, click ""File"" -> ""New Audiobook"". This will create an empty container that you can add new files to.
- right click your newly created audiobook, and select ""details.""
- now either drag and drop your files onto this page, or select ""File"" -> ""Add Audiofiles"" and import the files from there.

AudiobookSuite caches a lot of data to speed up loading times. This especially applies to file metadata. If files change outside of the application, the displayed metadata might not be up-to-date. This includes titles, authors/narrators and chapter data. In that case you can rightclick the audiobook and select ""Reset metadata"" - which will read the relevant data back from the audio files on your harddrive."
3D SportEditor Desktop,12.99,Éducation,3D Turnhalle,7/26/2023 6:20:27 AM,"Create versatile gym plans & station cards quickly & easily with 3D Gym.

How it works:

Select equipment, drag it into the gym, arrange, rotate and save. The hall plan is ready.

The benefits:

Easy & fast: The hall planner has been designed so intuitively that you will have created your first hall plan after just a few minutes. 

Extensive: The 3D gym already offers over 200 true-to-scale gymnastics equipment, materials & figures, with which you can create countless setups. 

Time saving: Self-drawn hall plans are a thing of the past. There is more time for planning the content of the sports lesson. 

Inexpensive: One-time payment. No subscription model. No hidden costs. With your purchase you support the further development of the app. 

What are you waiting for? Try the app.

If you have any questions, requests or comments, feel free to contact us.

Your vlamingo-Team"
CPU Check,1.99,Utilitaires et outils,Stefan vd,1/7/2020 4:00:36 PM,"Are you curious about your computer's CPU performance? Look no further! Introducing CPU Check – your all-in-one solution for tracking CPU usage on Windows 11. See your total CPU usage at a glance. Now you can see your total CPU usage in the application and also as a widget in your Windows 11 widget panel. The CPU Check app is a handy and informative tool to monitor live all your processors. That is built for Surface Go, Surface Pro, Surface Laptop Go, Surface Laptop, Surface Laptop Studio, and Surface Studio. Do not hesitate to get your copy today and enjoy the benefits of this fantastic application!

How to check CPU usage on Windows? The CPU Check widget can show you the total current usage of the processor in a progress bar with the percentage value. It is the ideal tool for ultimate professionals, photo editors such as Adobe Photoshop or Affinity Photo, musical composition, Adobe Audition producers, 3D designers, industry engineers that do fluid dynamics and aerodynamics analysis with Autodesk Inventor, heavy video editors, ‎Hollywood’s professional editing with Blackmagic DaVinci Resolve Studio, Adobe After Effects, and Adobe Premium Pro. That uses the latest generation high-end CPUs such as Intel Core i9, Intel Core i7, Intel Core i5, Intel Core i3, and Intel Xeon W processors. Also, it supports the ARM architecture such as Apple Silicon M series, Snapdragon, Nvidia, AMD, etc. That gives you incredible performance for pro applications. So what are you waiting for? Get it Now!"
Media Player Pro X‘,4.99,Utilitaires et outils,Ring Studio,11/10/2022 3:15:09 PM,"Media Player Pro X est un outil de lecture vidéo professionnelle. Media Player Pro X joue tous les fichiers multimédias ainsi que des DVD, des CD audio, VCD, divers protocoles de streaming, 4K / fichiers vidéo ultra HD, et les joue avec la haute définition.

Magnifiquement conçu Media Player Pro X est le meilleur lecteur vidéo répondre à tous vos besoins multimédias du lecteur et utilisateur attrayante interface vous offre la meilleure expérience utilisateur.

Formats pris en charge:

* Vidéo: MP4, MOV, M4V, MKV, WMV, RMVB, FLV, AVI, 3GP, ASX, DAT, DIVX, F4V, M3U8, MPG, MTS, TS, ASF, OGM, RM, F4P, F4A, F4B, SWF , MPEG, MPEG1, MPEG2, M1V, M2V, MPV, MPEG4, 3GPP, 3G2, 3GP2, M2P, PS, M2TS, MT2S, VOB, OGV, DV, WTV, WEBM etc.

* Audio: MP3, WAV, WMA, FLAC, APE, Wavpack, MPEG Layer 1/2, Vorbis, AC3 - A / 52, E-AC3, MLP / TrueHD> 3, DTS, ALAC, Speex, Alaw / μlaw , AMR (3GPP), MIDI, LPCM, ADPCM, QCELP, DV Audio, QDM2 / QDMC, Musepack / MPC, ATRAC3, Mod, TrueAudio, Real Audio, MACE etc.

* Sous-titre: DVD, DVB, SMI, SRT, SSA / ASS, IDX, SUB, IDX, MPL, TXT, TELETEXTE, LRC, PJS, SUP, VTT, sous-titrées, Vobsub, Format sous-titres Universal (USF), SVCD / CVD , ogm, LMMC, mlp2, fichiers texte (MicroDVD, SubRip, SubViewer, SSA1-5, SAMI, VPlayer), Kate, etc.

* Playlist: M3U, CUE, ASM, PLS, WPL etc."
Car Scanner (ELM OBD2),4.99,Affaires,Real Digital,10/17/2022 7:21:21 AM,"See what your car is doing in realtime, get OBD fault codes, car performance, sensor data and more!

Car Scanner is a vehicle / car performance / trip computer / diagnostics tool and scanner that uses an OBD II Wi-Fi or Bluetooth adapter to connect to your OBD2 engine management / ECU."
Ink Calendar and Journal,4.99,Productivité,JoeFinApps,7/27/2017 5:06:38 PM,"Are you tired of the same old digital calendars and journals? Seeking a fresh, innovative way to plan your days, weeks, and months? Look no further! Ink Calendar and Journal is the solution you've been waiting for. As a busy indie developer, I understand the importance of a well-organized life and the joy of exploring new ideas, making us the perfect choice for your Windows-based productivity needs.

Why Choose Ink Calendar and Journal?

Ink Calendar and Journal is not just another digital calendar app; it's a dynamic, interactive, and versatile tool designed for those who appreciate the fine art of planning and creative expression. Here's what sets us apart:

● The Power of Windows Ink: Embrace the intuitive and immersive experience of planning your schedule with the familiarity of using a pen, whether you're on a tablet, touchscreen laptop, or with a trusty mouse. With Ink Calendar, the power of Windows Ink is at your fingertips, making the planning process truly enjoyable and fluid.

● Expressive Freedom: Break free from the constraints of rigid digital interfaces. Ink Calendar allows you to draw, highlight, and annotate your schedule with a variety of vibrant colors. Transform your calendar into a canvas for self-expression and creativity, just like you would with a traditional paper calendar.

● Visual Delights: Relive the satisfaction of crossing out each accomplished day and emphasizing significant events by circling them in bold red. With Ink Calendar, you can preserve these traditional methods while benefiting from the digital age's convenience.

● Monthly and Weekly Views: Whether you prefer a bird's-eye view of the entire month or a closer look at your week, Ink Calendar offers both options. Navigate seamlessly between monthly and weekly layouts to tailor your planning experience.

● Unleash Your Inner Artist: Beyond planning, Ink Calendar is a space for creative expression. Doodle, sketch, or jot down ideas right in your calendar. It's perfect for those moments when inspiration strikes.

● Seamless Journaling Experience: Beyond its calendar functionality, Ink Calendar and Journal seamlessly integrates journaling into your daily routine. Record your thoughts, insights, and reflections alongside your schedule. Whether you're documenting your daily adventures, recording personal milestones, or jotting down creative ideas, your journal is always just a digital page turn away!

This app is more than just a digital calendar and journal; it's a revolution in productivity and creativity. As an app builder and a connoisseur of the nitty-gritty details of how things work, you'll appreciate the thoughtful design that makes this app tick.

Unleash your inner app builder with Ink Calendar and Journal, a tool that aligns with your goal of self-employment and exploring new theories. Embrace the world of possibilities and embark on a journey where planning meets creativity. Discover the joy of putting your ideas and schedules into action, one colorful stroke at a time.

Ink Calendar and Journal: Where Productivity Meets Artistry. Download now and start planning your life in a way that's uniquely you!"
Human Japanese,12.72,Éducation,Brak Software,5/9/2014 5:46:13 PM,"Ready to learn Japanese? Meet your personal sensei-in-a-box.

Human Japanese presents the Japanese language from square one in a warm, engaging tone. Going much deeper than the canned phrases and vocab of other apps, it approaches the language in an integrated way, with discussion, recordings, animations, illustrations, photos, reviews, and more.

The core promise of Human Japanese is to carefully explain how everything works and never to expect you to magically know things that we haven’t yet taught you. This makes your journey into Japanese a joy, as each new piece that falls into place makes sense and every new example sentence is comprehensible.

Key concepts are explained with warmth and humor, drawing you into the nuts-and-bolts that you need to understand Japanese while keeping things down-to-earth and engaging. Our goal is to lead you from one “light bulb moment” to the next so that you stay energized and excited about the language.

Human Japanese is lovingly crafted by a small team that cares deeply about helping you to truly understand the language. It will be our pleasure and privilege to be your guides on the incredible journey that is learning Japanese. Download it today, and let's get started!"
PDF Reader Pro - Modifier et lecteur PDF,71.99,Productivité,Kdan Mobile Software Ltd.,7/12/2018 9:12:14 AM,"PDF Reader Pro - Document Expert by Kdan Mobile, the stand-alone and FULL version of our PDF Reader, enables you to read, annotate, and share Adobe Acrobat PDF documents right on the local end of your PC, tablets, and smartphones. 

 
Key Features 
File Manager & Viewing Mode
• Fast and stable rendering performance
• Support highlight, underline, strikeout texts, and comments anywhere on the document
• Horizontal/ Vertical scrolling mode
• List/Grid View – Quickly preview PDF pages and jump to the specific page
• Open password-protected PDF files
• File Search

Reading Modes and BOTA 
• Choose night mode or reading mode to adjust the screen to fit your reading environments
• Manage bookmark, outline, thumbnail, and annotation with ease
 
File Transfer & Conversion
• Import PDF files from device folders
• Share PDF files via the sharing feature
• Send out PDFs as email attachments
• Print out PDF documents
• Convert PDF files to .DOCX, .PNG, .TXT formats

Fully support UWP & Windows Ink Workspace
• Work well on any device and screen 
• Draw and doodle on your documents, with the color of your choosing
• Call up a digital ruler to draw straight lines

Kdan Cloud Storage - Sign up for FREE Cloud Space
• Sync and access your documents across devices and operating systems
• Send download links to share files easily
• Sign up and verify your account to get 500 MB of free space
• Expand your Kdan Cloud storage with monthly or yearly subscription plans.
 
We value your feedback. Please contact us directly at appservice@kdanmobile.com or drop us a message via in-app customer support. We will be happy to help!

Follow us  to stay up to date on PDF Reader news!
Facebook: https://www.facebook.com/pdfreader
Twitter: https://twitter.com/KdanPDFReader"
Another Redis Desktop Manager,2.99,Outils de développement,qii404,3/15/2022 9:47:48 AM,"A faster, better, and more stable Redis desktop manager, depends on a Redis server"
Pomodoro-Tracker,2.99,Productivité,Kirill Klenov,4/17/2020 12:06:34 PM,"The Pomodoro Technique is a time management method that can be used for any task. For many people, time is an enemy. The anxiety triggered by “the ticking clock”, especially when it involves a deadline, leads to ineffective work and study habits which in turn lead to procrastination.

Key Features:
- Customize to increase your productivity:
  * Timer interval, short and long break duration
  * Number of pomodoros between long breaks
  * Auto-start for timer and breaks
  * Sounds for alarms and workflow
- Optionally block your screen on breaks to keep your eyes healthy
- Optionally sound notifications for ticking and alarms
- Track your progress through the day/week/month and custom periods
- Icon in your toolbar allows you to start, stop, pause a task in just seconds
- Manage your tasks
- Favorite your activities and setup your tasks faster
- Integration with Google Calendar/Google Tasks/Telegram/Slack/Trello/Todoist/Microsoft TODO and more
- An ability to block screen while breaks;

NB: Pomodoro-Tracker is not related to the Pomodoro Technique™/Pomodoro™’s trademark holder Cirillo Company and respects its trademarks."
Fine Chromatic Tuner - desktop,1.09,Musique,Alexander Mlazev,7/10/2023 12:42:06 PM,"Fine Chromatic Tuner est un accordeur d'instrument chromatique qui vous permet d'accorder rapidement et avec précision votre instrument. Il utilise des algorithmes uniques conçus pour un réglage plus précis. La plage de fonctionnement de l'application est de 70 Hz à 550 Hz. La fréquence exacte du son est affichée. Fonctionne comme accordeur de guitare, accordeur de ukulélé, violon, flûte et plus encore

Caractéristiques:
- algorithmes sensibles et précis
- Détection automatique des notes
- Analogique comme aiguille
- Affiche la fréquence
- Analogique clair et simple comme l'interface utilisateur
- La plage d'affichage est de -50 à +50 centimes
- Sélectionner la boîte de dialogue d'entrée audio"
"Bluestack Player : Plays all Video, Audio",2.69,Divertissement,DADEM,3/17/2023 1:43:19 AM,"Bluestack Player : Plays all Video, Audio multimedia player and framework that plays most multimedia files as well as and various streaming protocols."
PID Simulator,14.99,Éducation,ETCO,9/18/2018 1:53:16 AM,"Test, learn and program PID control loops in real time with the automated PID Simulator! With the simulated feedback and optional controls, the PID Simulator is the perfect tool to learn, practice, and teach how a PID controller works in a safe environment while maintaining a real world feel.
To learn more about PID control loops, visit the great content at PIDexplained.com"
